id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
992572079374524416,https://twitter.com/iestroud/status/992572079374524416,Sat May 05 01:09:59 +0000 2018,2018-05-05 01:09:59+00:00,iestroud,@BrynMawrCollege may rename Thomas Library. @WebDilettante says name it for Jessie Fauset. M. Carey Thomas denied her admission. Nickname: Palace Athena.,original,,,,,0,BrynMawrCollege,,30231500,en,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",194670865,Fri Sep 24 18:16:59 +0000 2010,False,Graduate student in American religion. Suburban mom. Living with lung cancer.,1660,610,589,31,Central New Jersey,Beth Stroud,5966,,http://www.thrivingwithlungcancer.com,False
992374959757496320,https://twitter.com/ZaraAnishanslin/status/992374959757496320,Fri May 04 12:06:42 +0000 2018,2018-05-04 12:06:42+00:00,ZaraAnishanslin,"RT @igallupd: Text at link: ""Bryn Mawr College Confronts a Racist Past"" -- that is v. good but unfortunately headline at article page is fl…",retweet,,,,,0,,,,en,,,1,992366410520236033,igallupd,19132700,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1477328539,Sun Jun 02 13:26:12 +0000 2013,False,"Historian with a thing for things. Author PORTRAIT OF A WOMAN IN SILK @yalepress 2016, Oft Talking Head @travelchannel",10628,3362,1868,123,the 18th century,Zara Anishanslin,8834,Eastern Time (US & Canada),http://www.professorzara.com,False
992366410520236033,https://twitter.com/igallupd/status/992366410520236033,Fri May 04 11:32:44 +0000 2018,2018-05-04 11:32:44+00:00,igallupd,"Text at link: ""Bryn Mawr College Confronts a Racist Past"" -- that is v. good but unfortunately headline at article page is flippant + not accurate: ""Bryn Mawr College panel: Keep ex-president's name on library, but don't call it that"" https://t.co/pixg7952HM via @phillydotcom",original,,,,http://www.philly.com/philly/education/bryn-mawr-college-panel-keep-ex-president-library-m-carey-thomas-racist-anti-semitic-20180503.html?__vfz=medium%3Dsharebar,1,,,,en,,False,1,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",19132700,Sun Jan 18 02:03:18 +0000 2009,False,Historian + Prof at Bryn Mawr College,256655,3469,5004,409,"39.95218,-75.214962",Ignacio Gallup-Diaz,310744,Tehran,,False
992339933162590208,https://twitter.com/SPSalisbury/status/992339933162590208,Fri May 04 09:47:31 +0000 2018,2018-05-04 09:47:31+00:00,SPSalisbury,Bryn Mawr College confronts its racist past https://t.co/2qrrAXOeb8,original,,,,http://www.philly.com/philly/education/bryn-mawr-college-panel-keep-ex-president-library-m-carey-thomas-racist-anti-semitic-20180503.html,0,,,,en,,False,0,,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",277700688,Tue Apr 05 21:31:06 +0000 2011,False,Cultural writer for the Philadelphia Inquirer. New novel coming in June: Britt & Jimmy Strike Out.,10,1005,96,94,Philadelphia PA,Stephan Salisbury,25497,Atlantic Time (Canada),,False
992150397073657856,https://twitter.com/igallupd/status/992150397073657856,Thu May 03 21:14:22 +0000 2018,2018-05-03 21:14:22+00:00,igallupd,"""Bryn Mawr College panel: Keep ex-president's name on library, but don't call it that"" https://t.co/QfVBlJ3wcd",original,,,,http://www.philly.com/philly/education/bryn-mawr-college-panel-keep-ex-president-library-m-carey-thomas-racist-anti-semitic-20180503.html,1,,,,en,,False,0,,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",19132700,Sun Jan 18 02:03:18 +0000 2009,False,Historian + Prof at Bryn Mawr College,256655,3469,5004,409,"39.95218,-75.214962",Ignacio Gallup-Diaz,310744,Tehran,,False
992142291375722498,https://twitter.com/igallupd/status/992142291375722498,Thu May 03 20:42:10 +0000 2018,2018-05-03 20:42:10+00:00,igallupd,RT @runlolarun: Surprised but pleased that @BrynMawrCollege’s History Working Group has recommended removing M Carey Thomas’s name from use…,retweet,,,,,0,,,,en,,,1,992086873769033729,runlolarun,14194497,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",19132700,Sun Jan 18 02:03:18 +0000 2009,False,Historian + Prof at Bryn Mawr College,256655,3469,5004,409,"39.95218,-75.214962",Ignacio Gallup-Diaz,310744,Tehran,,False
992142149251682305,https://twitter.com/igallupd/status/992142149251682305,Thu May 03 20:41:36 +0000 2018,2018-05-03 20:41:36+00:00,igallupd,"RT @brennalevitin: Cautiously hopeful about @BrynMawrCollege History Working Group's recommendations, which include a ""museum-quality displ…",retweet,,,,,0,,,,en,,,1,992084203834675202,brennalevitin,1370810516,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",19132700,Sun Jan 18 02:03:18 +0000 2009,False,Historian + Prof at Bryn Mawr College,256655,3469,5004,409,"39.95218,-75.214962",Ignacio Gallup-Diaz,310744,Tehran,,False
992142068377104384,https://twitter.com/phillydotcom/status/992142068377104384,Thu May 03 20:41:16 +0000 2018,2018-05-03 20:41:16+00:00,phillydotcom,"Bryn Mawr College panel: Keep ex-president's name on library, but don't call it that https://t.co/vrA9KxYbQc",original,,,,https://trib.al/x7LGlIZ,2,,,,en,,False,0,,,,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",14221917,Wed Mar 26 01:57:54 +0000 2008,False,https://t.co/DhDK8saXUJ is your front-row seat to the Greater Philadelphia region through the reporting of The Philadelphia Inquirer and Daily News.,491,377093,1504,2443,"Philadelphia, PA",Philly.com,155636,Eastern Time (US & Canada),http://www.philly.com,True
992116544380399617,https://twitter.com/Chris_1791/status/992116544380399617,Thu May 03 18:59:51 +0000 2018,2018-05-03 18:59:51+00:00,Chris_1791,"Bryn Mawr College panel: Keep ex-president's name on library, but don't call it that https://t.co/Y231N7acI8 via @phillydotcom",original,,,,http://dlvr.it/QRfw4f,0,,,,en,,False,0,,,,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",312149882,Mon Jun 06 17:20:55 +0000 2011,False,"#Catholic.  BS/MS Princeton PhD U of Penn, Data Scientist #1A #2A. #ProLife. ❤️ Dogs, cats, & all animals. #MAGA #BuildTheWall #DrainTheSwamp If ur crazy NO DMs",2279,68856,26813,1217,"Philadelphia, PA USA",Chris  🇺🇸,1030807,Eastern Time (US & Canada),https://gab.ai/chris1791,False
992086873769033729,https://twitter.com/runlolarun/status/992086873769033729,Thu May 03 17:01:57 +0000 2018,2018-05-03 17:01:57+00:00,runlolarun,Surprised but pleased that @BrynMawrCollege’s History Working Group has recommended removing M Carey Thomas’s name from use on campus.,reply,,,,,2,runlolarun,992086299917111296,14194497,en,"Houston, TX",,1,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",14194497,Sat Mar 22 00:08:27 +0000 2008,False,"Writer, curator, and historian of memory. Blogger about the second lives of places & things. Fan of Stendhal Syndrome & crying in public. She/ella/ona",16973,2760,2728,139,"Fishtown, Philadelphia",Lola Arellano-Fryer,52562,Eastern Time (US & Canada),http://www.thefound.city,False
